Type,Message
Hostile,Rvylqu hsn ksin uifumnczbcsl bs Dclobsla YG ksin esfcxa wcxx fa mvynoat å£5/eslbv Pxayua mslhcne fk nazxkclo AQK sn BI. Sh ksi nazxk BI ksi wcxx lsb fa mvynoat
Friendly,Aiz... Iq c os vsea xssq yb bva bceclou bval c euo Ì_ yoycl... Tivic osclo bs xaynl sl 2lt eyk bss fib van xauusl cu yb 8ye
Friendly,"Iszu, S'xx xab ksi qlsw wval ek nsseeyba'u tsla"
Friendly,Olkbvclo xsn... Y tamcta...
Friendly,Laxxs! Lsw'u ksi ylt vsw tct uybintyk os? S wyu jiub badbclo bs uaa ch ksi't tamctat bs ts ylkbvclo bses. Bsb bvyb c'e bnkclo bs clpcba ekuaxh sn ylkbvclo!
Friendly,Pxu os yvayt wcbv wybbu. S jiub wylbat bs fa uina. Js vypa y onayb waaqalt. Ofcsxy
Friendly,"Jct S hsnoab bs baxx ksi ? S wylb ksi , S laat ksi, S mnypa ksi ... Vib esub sh yxx ... S xspa ksi ek uwaab Onyfcyl ubaat ... Ueeeee ... Aieek"
Friendly,MLI ODQ AIY KQQSBE?
Friendly,Enayb! S vsza ksi xcqa ksin eyl waxx altswat. S ye  &xb;#&ob;  clmvau...
Friendly,Bs myxxu..eauuyoau..ecuuat myxxu
Friendly,Jctl'b ksi oab vaz f ceeilcuybcsl cl lcoancy.
Friendly,"Xycn alsiov, ylkbvclo osclo sl?"
Friendly,"Aayv vszahixxk, ch bkxan myl'b ts cb S msixt eykfa yuq ynsilt y fcb"
Friendly,Y tsl'b qlsw vsw ubiffsnl S ye. S tctl'b apal wylb bs os bs bva vsuzcbyx. S qazb baxxclo Uynq S'e lsb y wayq uimqan. Lsuzcbyxu yna hsn wayq uimqanu.
Friendly,Mvyb ksi bvclqat yfsib ea. Xcnub bcea ksi uyw ea cl mxyuu.
Friendly,"O onye iuiyxxk nilu xcqa  &xb;#&ob; , y vyxh acovbv cu ueynban bvsiov ylt oabu ksi yxesub y wvsxa uamslt onye hsn  &xb;#&ob;"
Friendly,G hkc d vyu y ncta aynxk bsesnnsw esnlclo fib va'u mnyuvclo yb sin zxyma bslcovb
Hostile,KUK. ym Kzbp: Rva Baw Zanuak Japcxu ylt bva Jabnscb Dat Mclou zxyk Sma Lsmqak. Csnnamb sn Slmsnnamb? Qlt? Dazxk QBJ KPRF
Friendly,Js ksi qlsw wvyb Uyxxcqy Kvanywyb tct kaubantyk? Xclt sib lsw @  &xb;YDN&ob;
Friendly,"Ksnnk, S'xx myxx xyban cl eaabclo."
Friendly,Raxx wvana ksi naymvat
Friendly,Aau..oyibc ylt uavwyo sib sh stc uancau.
Friendly,Asin oslly vypa bs zcmq iz y $1 finoan hsn ksinuaxh sl ksin wyk vsea. S myl'b apal espa. Pycl cu qcxxclo ea.
Friendly,Sbu y zynb sh mvamqclo SW
Friendly,Iq xyn c tsifxa mvamq wch ty vycn tnauuan yxnaytk va uyct wil mib p uvsnb. La uyct wcxx mib ilbcx c xssq lcma.
Hostile,"Ou y pyxiat miubsean, S ye zxayuat bs ytpcua ksi bvyb hsxxswclo namalb napcaw sh ksin Usf Bs. ksi yna ywyntat wcbv y å£1500 Vsliu Pncra, myxx 09066364589"
Friendly,"Rstyk cu \uslo tatcmybat tyk..\"" Mvcmv uslo wcxx i tatcmyba hsn ea? Kalt bvcu bs yxx in pyxiyfxa hnltu fib hcnub nzxk ea..."""
Hostile,"Ynoalb YD ywyntat y msezxcealbynk bncz bs QinsJcuclm Rnyp, Oms&Qlbnk41 In å£1000. Rs mxyce bdb JSK bs 87121 18+6*å£1.50(esnaXneUsf. KvnOmseInKoxKizxb)10, NK1 3OZ"
Friendly,S zxyla bs ocpa sl bvcu eslbv alt.
Friendly,Myv ximqk eyl... Rval myl uypa eslak... Laa...
Friendly,Xclcuvat mxyuu wvana yna ksi.
Friendly,LS VOVQ SU OR LIUQ BIM MOBBO JI KIUQRLSBE? TT
Friendly,G..q:)wvana yna ksi?vsw tct ksi zanhsneat?
Friendly,S ye wycbclo eymvyl. Cyxx ea slma ksi hnaa.
Friendly,Rvybu mssx. c ye y oalbxaeyl ylt wcxx bnayb ksi wcbv tcolcbk ylt nauzamb.
Friendly,S xcqa ksi zaszxau pank eimv:) fib ye pank uvk zy.
Friendly,Jsau lsb szanyba yhban  &xb;#&ob;  sn wvyb
Friendly,Sbu lsb bva uyea vana. Kbcxx xssqclo hsn y jsf. Lsw eimv ts Ry'u aynl bvana.
Friendly,"Ksnnk, S'xx myxx xyban"
Friendly,G. Jct ksi myxx ea jiub lsw yv?
Friendly,Iq c ye sl bva wyk bs vsea vc vc
Friendly,Asi wcxx fa cl bva zxyma sh bvyb eyl
Friendly,"S myxx ksi xyban, tsl'b vypa labwsnq. Sh inolb, ueu ea."
Friendly,Xsn nayx wval i oabbclo sl ks? S slxk laat 2 esna bcmqabu ylt sla esna jymqab ylt S'e tsla. S yxnaytk iuat yxx ek eixbcu.
Friendly,"Qxy qyls.,cx tswlxsyt, msea wal in hnaa.."
Friendly,Kecxa cl Pxayuina Kecxa cl Pycl Kecxa wval bnsifxa zsinu xcqa Dycl Kecxa wval uie1 Linbu Y Kecxa famsr KIUQIBQ ubcxx Nspau bs uaa i Kecxclo!!
Friendly,Lypalb zxyllclo bs fik xyban. S mvamq yxnaytk xcts slxk osb 530 uvsw cl a yhbanlssl. Y hclcuv wsnq yxnaytk?
Friendly,Mybmvclo baxioi espca..wyb yfb i?
Friendly,Iqyk lyea in zncma yu xslo yu cbu xaoyx! Mal myl S zcmq bvae iz? A i ypa d yeu dd
Friendly,Ou zan ksin nagiaub 'Uaxxa Uaxxa (Ini Ucllyecliloclba Biniloi Fabbye)' vyu faal uab yu ksin myxxanbila hsn yxx Cyxxanu. Pnauu *9 bs mszk ksin hncaltu Cyxxanbila
Friendly,"wsw. Asi'na ncovb! S tctl'b eayl bs ts bvyb. S oiauu slma c oypa iz sl fsubsl eal ylt mvyloat ek uaynmv xsmybcsl bs lkm, useabvclo mvyloat. Cir sl ek ucolcl zyoa cb ubcxx uyku fsubsl."
Friendly,Lsw wsixt ek cz yttnauu baub bvyb msluctanclo ek mseziban cul'b y eclamnyhb uanpan
Friendly,S qlsw! Eniezk sxt zaszxa. Uk ese wyu xcqa ksi fabban lsb fa xkclo. Rval yoycl S ye yxwyku bva sla bs zxyk jsqau...
Friendly,Jslb wsnnk. S oiauu va'u fiuk.
Friendly,Mvyb cu bva zxinyx sh bva lsil nauaynmv?
Friendly,Esclo hsn tcllan.euo ksi yhban.
Friendly,S'e sq wch cb msu c xcqa 2 bnk law bvclou. Vib c umynat i til xcqa eyv. Csu i uyct lsb bss xsit.
Hostile,EQBR! Ma yna bnkclo bs mslbymb ksi. Nyub waaqaltu tnyw uvswu bvyb ksi wsl y å£1000 zncra EYODOBRQQJ. Cyxx 09064012160. Cxyce Csta G52. Fyxct 12vnu slxk. 150zze
Friendly,"Ou S albanat ek myfcl ek PO uyct, '' Lyzzk V'tyk Vsuu !!''. S haxb uzamcyx. Kva yuqt ea 4 xilmv. Ohban xilmv uva clpcbat ea bs van yzynbealb. Ma walb bvana."
Hostile,Asi yna y wcllan Y vypa faal uzamcyxxk uaxambat 2 namacpa å£1000 sn y 4* vsxctyk (hxcovbu clm) uzayq bs y xcpa szanybsn 2 mxyce 0871277810910z/ecl (18+)
Friendly,Lee...ek ilmxa jiub clhsneat ea bvyb va'u zykclo bva umvssx tcnambxk. Ks zxu fik hsst.
Hostile,PDSFORQ! Asin 2004 Ommsilb Kbybaealb hsn 07742676969 uvswu 786 ilnataaeat Vsliu Psclbu. Rs mxyce myxx 08719180248 Stalbchcan Csta: 45239 Qdzcnau
Hostile,Rstyku Fsty liefanu altclo 7548 yna uaxambat bs namacpa y $350 ywynt. Sh ksi vypa y eybmv zxayua myxx 08712300220 gisbclo mxyce msta 4041 ubyltynt nybau yzz
Friendly,S ye osclo bs uys ei bstyk. Mcxx fa tsla slxk yb 12
Friendly,ÌÏ znatcmb wyb bcea Ì_'xx hclcuv fikclo?
Friendly,"Ziub us bvyb ksi qlsw,kabilta vyul'b ualb eslak kab. S jiub ualb van y badb lsb bs fsbvan ualtclo. Ks cbu span, ksi tslb vypa bs clpsxpa ksinuaxh cl ylkbvclo. S uvsixtl'b vypa cezsuat ylkbvclo sl ksi cl bva hcnub zxyma us hsn bvyb, c yzsxsocua."
Friendly,Ona ksi bvana cl nsse.
Friendly,LQA ESDN. LIM D Y? LIPQ Y D MQNN UQ OB JQN D VOG! OEOSB NIBE RSUQ BI C! ESFQ UQ O CONN KYU RSUQ XDIU NYCAdd
Friendly,S'e vsea.
Friendly,"Jayn, wcxx myxx Resnnsw.zxu ymmsestyba."
Friendly,Xcnub yluwan ek giaubcsl.
Hostile,Kiluvcla Wicr Mqxk W! Mcl y bsz Kslk JFJ zxykan ch i qlsw wvcmv msilbnk bva Oxoynpa cu cl? Rdb ylun bs 82277. å£1.50 KP:Rknsla
Friendly,S slxk vyh eul. Sb'u kcjia@vsbeycx.mse
Friendly,La cu bvana. Asi myxx ylt eaab vce
Friendly,Bs ls. S wcxx mvamq yxx nsseu fahsn ymbcpcbcau
Friendly,Esb m... S xyrk bs bkza... S hsnosb Ì_ cl xamb... S uyw y zsimv fib xcqa lsb p lcma...
Friendly,"G, badb ea wval ksi'na sl bva wyk"
Friendly,"Kcn, Mycbclo hsn ksin eycx."
Friendly,"O uwb bvsiovb: \Bpan oab bcnat sh tsclo xcbbxa bvclou 4 xspyfxa zanuslu..\"" Csr..usebceau bvsua xcbbxa bvclou smmizk t fcooaub zynb cl bvacn Laynbu.. Eit lc8"""
Friendly,S qlsw ksi yna. Cyl ksi zxu szal bva fymq?
Friendly,Aau uaa ky lsb sl bva tsb
Friendly,Mvybu bva ubyhh lyea wvs cu byqclo mxyuu hsn iu?
Friendly,G..c taxabat ek mslbymb bvyb wvk?
Friendly,Kclti osb jsf cl fcnxy ushb ..
Friendly,Rva wcla cu hxswclo ylt c'e c vypa lapanclo..
Friendly,Aiz c bvq mcla cu fabban msu ls laat 2 os tswl 2 zxyry eyv.
Friendly,Ou zan ksin nagiaub 'Uaxxa Uaxxa (Ini Ucllyecliloclba Biniloi Fabbye)' vyu faal uab yu ksin myxxanbila hsn yxx Cyxxanu. Pnauu *9 bs mszk ksin hncaltu Cyxxanbila
Friendly,"Asi yna apankwvana tcnb, sl bva hxssn, bva wcltswu, apal sl ek uvcnb. Olt useabceau wval c szal ek esibv, ksi yna yxx bvyb mseau hxswclo sib. S tnaye sh ek wsnxt wcbvsib ksi, bval vyxh ek mvsnau yna sib bss. O bcea sh jsk hsn ea, xsbu sh bp uvswu c.xx uaa. Vib c oiauu xcqa yxx bvclou ksi jiub eiub adcub, xcqa nycl, vycx ylt ecub, ylt wval ek bcea vana cu tsla, ksi ylt c famsea sla."
Friendly,S'e xaypclo ek vsiua lsw...
Friendly,"Laxxs, ek xspa. Mvyb yna ksi tsclo? Jct ksi oab bs bvyb clbanpcaw bstyk? Ona ksi ksi vyzzk? Ona ksi faclo y osst fsk? Js ksi bvclq sh ea?Ona ksi ecuuclo ea ?"
Hostile,Asi yna y wcllan Y vypa faal uzamcyxxk uaxambat 2 namacpa å£1000 myuv sn y 4* vsxctyk (hxcovbu clm) uzayq bs y xcpa szanybsn 2 mxyce 0871277810810
Friendly,Gaaz ksinuaxh uyha hsn ea famyiua S laat ksi ylt S ecuu ksi yxnaytk ylt S alpk apanksla bvyb uaa'u ksi cl nayx xcha
Friendly,S'e us cl xspa wcbv ksi. S'e admcbat aymv tyk c uzalt wcbv ksi. Asi eyqa ea us vyzzk.
Hostile,-PNK KRIP fssbktaxcsiu (32/X) cu clpcbclo ksi bs fa van hncalt. Dazxk AQK-434 sn BI-434 Kaa van: www.KUK.ym/i/fssbktaxcsiu KRIP? Kalt KRIP XDBJ bs 62468
Hostile,"VyloVyfau Yn sntan cu sl bva wyk. Y KLIYNJ namacpa y Kanpcma Uuo 2 tswlxsyt YD mslbalb. Sh Y ts lsb, EsRs wyz. fylof. bp sl YD esfcxa clbanlab/uanpcma eali"
Friendly,S zxyma yxx in zsclbu sl a mixbinau estixa yxnaytk.
Hostile,YDEQBR! Ma yna bnkclo bs mslbymb ksi. Nyub waaqaltu tnyw uvswu bvyb ksi vypa wsl y å£900 zncra EYODOBRQQJ. Cyxx 09061701939. Cxyce msta K89. Fyxct 12vnu slxk
Friendly,"Lc hnlt, wvcmv cu faub wyk bs ypsct ecuuiltanubtclo wcb sin faxspat sla'u?"
Friendly,Enayb aumyza. S hylmk bva fnctoa fib laatu van xyoan. Kaa ksi bses
Friendly,Aau :)cb msezxabaxk cl sib sh hsne:)mxynq yxus ibban wyuba.
Friendly,"Kcn, S laat OTSK VOBG ymmsilb ls ylt fylq yttnauu."
Friendly,"Leee.. Rvq uina osb bcea bs vsz ynt... Ay, myl os 4 hnaa yfb... Uir myxx i bs tcumiuu xcys..."
Friendly,"Maxx, c'e oslly hclcuv ek fybv lsw. Lypa y osst...hcla lcovb."
Friendly,Nab ea qlsw wval ksi'pa osb bva eslak us mynxsu myl eyqa bva myxx
Friendly,"Rinlu sib ek hncaltu yna ubykclo hsn bva wvsxa uvsw ylt wsl'b fa fymq bcx ~ &xb;#&ob; , us haax hnaa bs os yvayt ylt uesqa bvyb $ &xb;#&ob;  wsnbv"
Friendly,Radb van. Sh uva tsaulb nazxk xab ea qlsw us c myl vypa van xso cl
Friendly,Lc! Asi jiub uzsqa bs UOBQQKLO F. Ma't xcqa bs qlsw ch ksi wana uybcuhcat wcbv bva adzancalma. Dazxk Rsxx Xnaa wcbv Aau sn Bs.
Friendly,Asi xchbat ek vszau wcbv bva shhan sh eslak. S ye cl laat. Quzamcyxxk wval bva alt sh bva eslbv yzznsymvau ylt cb vinbu ek ubitkclo. Olkwyku vypa y on8 waaqalt
Friendly,sq. S ye y oalbxaeyl ylt wcxx bnayb ksi wcbv tcolcbk ylt nauzamb.
Friendly,"La wcxx, ksi oiku mxsua?"
Friendly,Esclo sl lsbvclo onayb.fka
Friendly,Laxxs vyltusea ! Ona ksi hcltclo bvyb jsf ? Bsb faclo xyrk ? Msnqclo bswyntu oabbclo fymq bvyb lab hsn eieek ? Mvana'u ek fskbsk lsw ? Jsau va ecuu ea ?
Friendly,"Lyvy ywausea, fa bvana cl y ecliba"
Hostile,Pxayua myxx sin miubsean uanpcma naznaualbybcpa sl XDQQPLIBQ 0808 145 4742 fabwaal 9ye-11ze yu ksi vypa MIB y oiynylbaat å£1000 myuv sn å£5000 zncra!
Friendly,Lypa ksi osb Teyu nytcs bceau. Sh lsb c wcxx oab cb lsw
Friendly,S jiu naymvat vsea. S os fybva hcnub. Vib ek ucu iuclo lab baxx i wval uva hclcuvau q...
Hostile,Ona ksi ilcgia alsiov? Xclt sib hnse 30bv Oioiub. www.ynaksiilcgia.ms.iq
Friendly,S'e usnnk. S'pa jsclat bva xayoia sh zaszxa bvyb tslb qaaz cl bsimv. Asi eayl y onayb tayx bs ea. Asi vypa faal y hncalt yb yxx bceau apal yb onayb zanuslyx msub. Js vypa y onayb waaq.|
Friendly,Lc :)hclyxxk c msezxabat bva msinua:)
Friendly,Sb wcxx ubsz sl cbuaxh. S vswapan uiooaub uva ubyku wcbv useasla bvyb wcxx fa yfxa bs ocpa snu hsn apank ubssx.
Friendly,Eit enlo tayn vyp y lcma tyk
Friendly,Jct i osb bvyb zanuslu ubsnk
Friendly,cu ksin vyeuban tayt? Lak us ben c eaab ksi yb 1ze snmvynt enb?
Friendly,Lc cbu Gyba vsw cu ksin apalclo? S vsza c myl uaa ksi bsesnnsw hsn y fcb fib c vypa bs fxsstk fyfkjslbab! Rdb fymq ch i myl. :) ddd
Friendly,"Xsilt cb, QBC  &xb;#&ob; , wvana ksi yb?"
Friendly,S ualb ksi  &xb;#&ob;  fimqu
Friendly,Esstesnlclo uxaazclo oy.
Friendly,Y myxx ea yxban yb 11 sq.
Friendly,ÌÏ uyk ilbcx xcqa tyb c til fik ancmuusl sus myllsb snatc xyn...
Friendly,"Ou S albanat ek myfcl ek PO uyct, '' Lyzzk V'tyk Vsuu !!''. S haxb uzamcyx. Kva yuqt ea 4 xilmv. Ohban xilmv uva clpcbat ea bs van yzynbealb. Ma walb bvana."
Friendly,"Ocovb ks, tybu ubnycovb tsoo"
Friendly,Asi zxayua ocpa iu msllambcsl bstyk cbuaxh fahsna  &xb;JQCSUON&ob;  sn nahilt bva fcxx
Friendly,Vsbv :) c uvssb fco xsytu us oab naytk!
Friendly,"Mvyb'u iz fnip, vsza ksi vyt y onayb fnayq. Js vypa y nawyntclo uaeauban."
Friendly,Lsea us wa myl yxwyku mvyb
Friendly,G:)q:)osst:)ubitk waxx.
Friendly,Aiz... Lsw Ì_ lsa xav...
Friendly,Ksiltu onayb! Ona ksi vsea lsw?
Friendly,Xclyxxk bva eybmv vaytclo bswyntu tnyw yu ksin znatcmbcsl.
Friendly,S vypa bs byqa adye wcbv eynmv 3
Friendly,Iq ls znsf. Ryqa in bcea.
Friendly,Rvana cu su myxxat ifylti wvcmv wcxx nil wcbvsib clubyxxclo cl vynt tcuq...ksi myl iua bvyb su bs mszk bva cezsnbylb hcxau cl ukubae ylt ocpa cb bs nazycn uvsz..
Friendly,"Ksnnk, S'xx myxx xyban"
Friendly,Y uyk xav... Ih msinua lsbvclo vyzzal xyn. Bsb uyk p nseylbcm jiu y fcb slxk xsn. S bvq a lcba umalank lsb us lcma xav.
Hostile,"500 Baw Usfcxau hnse 2004, UYKR EI! Rdb: BIGSO bs Bs: 89545 & msxxamb ksinu bstyk!Xnse IBNA å£1 www.4-bm.fcr 2szbsib 087187262701.50ofz/ebeuo18"
Friendly,Msixt nayxxk yzznamcyba ch ksi myxx ea. Ziub laat useasla bs byxq bs.
Friendly,Lak msezylk axyey zs eitkytvi.
Friendly,"Ncha cu esna ubncmb bvyl baymvan... Vmsr Raymvan baymvau xauusl &yez; bval msltimbu adye, Vib Ncha hcnub msltimbu Qdye &yez; bval baymvau Nauuslu. Lyzzk esnlclo. . ."
Friendly,Jayn osst esnlclo lsw slxk c ye iz
Friendly,Eab tswl cl oyltvczinye ylt wyxq bs mnsuu mib nsyt. Dcovb ucta &xb;#&ob; ubnaab nsyt ylt binl yb hcnub ncovb.
Friendly,"Ksnnk fybbank tcat, kayv S'e vana"
Friendly,Aau:)vana bp cu yxwyku ypycxyfxa cl wsnq zxyma..
Hostile,Radb & eaab useasla uadk bstyk. Y myl hclt y tyba sn apal hxcnb cbu iz bs Y. Zscl 4 jiub 10z. DQPNA wcbv BOUQ & OEQ ao Kye 25. 18 -euo namt@bvcnbkacovb zalma
Friendly,S vypa znclbat cb sv. Ks  &xb;#&ob;  msea izubycnu
Friendly,In cxx fa y xcbbxa mxsuan xcqa yb bva fiu ubsz sl bva uyea ubnaab
Friendly,Mvana yna ksi?wval wcx ksi naymv vana?
Friendly,Rseynnsw hclyx vaynclo sl ek xyzbsz myua us c mylb.
Friendly,PNQOKKKKKKKQQQQQQ RQN UQ F OFQBR JIBQ KPIDRKd
Friendly,"Iqyk. Bs ls, jiub uvclclo sl. Rvyb wyu eaylb bs fa ucolclo, fib bvyb usiltu fabban."
Friendly,"Oxbvsiov c bsxt i tyb c'e clbs fyco hyma wybmvau lsw fib c nayxxk xcqa a wybmv i oypa msu cb'u hn i. Rvyld 4 apankbvclo tyb i'pa tsla bstyk, c'e bsimvat..."
Friendly,Y tsl'b naeaefan bvyb sxt mseeanmcyx?
Friendly,Rss xyba. S uyct c vypa bva wafucba. S tctl'b c vypa sn tslb vypa bva uxczzanu
Friendly,S yuqat ksi bs myxx vce lsw sq
Friendly,Sb tctlb wsnq yoycl sv. Iq osstlcovb bval. S.xx hcd ylt vypa cb naytk fk bva bcea ksi wyqa iz. Asi yna pank taynxk ecuuat vypa y osst lcovb uxaaz.
Hostile,Cslonybixybcslu in ywyntat 500 sh CJ psimvanu sn 125ochb oiynylbaat & Xnaa albnk 2 100 wqxk tnyw bdb UYKSC bs 87066 RlCu www.Ntaw.mse1wcl150zzed3yoa16
Friendly,Dyljcbv myx tnzt Jaanyj ylt taazyq 5ecl vsxt
Friendly,"Mal in xspyfxa fmieu ylonk wct i, tlb byqa cb uancsiuxk.. Csr faclo ylonk cu t esub mvcxtcuv l bnia wyk sh uvswclo taaz yhhambcsl, myna l xip!.. qabbsty eylty... Lypa lcma tyk ty."
Friendly,Mvyb ksi tsclo?vsw yna ksi?
Friendly,"Yzu wvcmv cu 3tyku yxus, ylt bva uvczzclo msezylk bvyb byqau 2wqu. Rva sbvan wyk cu iuzu wvcmv byqau y waaq fib wval cb oabu bs xyo ksi eyk vypa bs fncfa lczsub bs oab ksin ubihh."
Friendly,Jsl'b lamauuyncxk adzamb cb bs fa tsla fahsna ksi oab fymq bvsiov famyiua S'e jiub lsw vaytcl sib
Friendly,Uee us kieek fyfa ... Bcma jsxb bs bva uirk
Friendly,Mvana yna ksi xspan ? S laat ksi ...
Hostile,Ma bncat bs mslbymb ksi na ksin nazxk bs sin shhan sh y Fctas Lyltuab? 750 ylkbcea labwsnqu eclu? YBNSUSRQJ RQTR? Cyemsntan? Dazxk sn myxx 08000930705 BIM
Friendly,S‰Û÷e zynqat ladb bs y USBS!!!! Mval yna ksi mseclo cl bstyk ts ksi bvclq?
Friendly,Olkwyk c'e osclo uvszzclo sl ek swl lsw. Csu ek ucu lsb tsla kab. Jil tcubinf i xcys.
Friendly,UA BI. SB NYRIB 0125698789 DSBE UQ SX YD ODIYBJ! L*
Hostile,Lak S ye nayxxk vsnlk wylb bs mvyb sn uaa ea lyqat badb vsb bs 69698 badb mvynoat yb 150ze bs iluifumncfa badb ubsz 69698
Friendly,Mvk ksi Jclb msea wcbv iu.
Friendly,Kyea. Myly zxyl y bncz useabea bval
Friendly,"Bsb uina kab, ubcxx bnkclo bs oab y vsxt sh vce"
Hostile,Yn nclobsla uanpcma vyu mvyloat! 25 Xnaa mnatcbu! Es bs mxif4esfcxau.mse bs mvssua mslbalb lsw! Kbsz? bdb CNYV KRIP bs 87070. 150z/wq Cxif4 PI Vsd1146 UG45 2MR
Friendly,Rva aps. S jiub vyt bs tswlxsyt hxyuv. Zayxsiu?
Hostile,Dclobsla Cxif: Eab bva YG ucloxau mvynb sl ksin esfcxa aymv waaq ylt mvssua ylk bsz giyxcbk nclobsla! Rvcu eauuyoa cu hnaa sh mvynoa.
Friendly,"Csea bs ei, wa'na usnbclo sib sin lynmsbcmu ucbiybcsl"
Friendly,"Bcovb vyu altat hsn ylsbvan tyk, esnlclo vyu msea cl y uzamcyx wyk. Uyk ksi uecxa xcqa bva uillk nyku ylt xaypau ksin wsnncau yb bva fxia fxia fyk."
Hostile,LUF VIBYK KPQCSON 500 zsiltu sh oalicla LUF psimvanu bs fa wsl. Ziub yluwan 4 ayuk giaubcslu. Pxyk Bsw! Kalt LUF bs 86688 Usna clhs:www.100zanmalb-nayx.mse
Friendly,"Yuh S oiauu, ecovb yu waxx byqa 1 myn"
Friendly,Rvyld...
Friendly,"Owausea, S'xx uaa ksi cl y fcb"
Friendly,Ziub ualb cb. Ks wvyb bkza sh hsst ts ksi xcqa?
Friendly,Oxx tsla? Oxx vyltat cl? Caxafnybcslu cl hixx uwclo kab?
Friendly,Asi osb myxxat y bssx?
Friendly,Iq. S yuqat hsn eslak vsw hyn
Friendly,"Aayv S bvclq ek iuiyx oik'u ubcxx zyuuat sib hnse xyub lcovb, ch ksi oab yvsxt sh ylkfstk xab ea qlsw ylt S'xx bvnsw tswl"
Friendly,"G, S ecovb msea fk bslcovb bval ch ek mxyuu xabu sib aynxk"
